,index,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.AgesAllowed,attributes.Open24Hours,attributes.ByAppointmentOnly,attributes.Corkage,attributes.BYOBCorkage,attributes.DriveThru,attributes.GoodForDancing,attributes.CoatCheck,attributes.BestNights,attributes.BYOB,attributes.Smoking,attributes.Music,attributes.BusinessAcceptsBitcoin,attributes.WheelchairAccessible,attributes.RestaurantsTableService,attributes.DogsAllowed,attributes.HappyHour,attributes.BikeParking,attributes.RestaurantsGoodForGroups,attributes.Ambience,attributes.Caters,attributes.GoodForMeal,attributes.NoiseLevel,attributes.RestaurantsReservations,attributes.HasTV,attributes.Alcohol,attributes.RestaurantsAttire,attributes.BusinessAcceptsCreditCards,attributes.GoodForKids,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.OutdoorSeating,attributes.BusinessParking,attributes.WiFi,attributes.RestaurantsPriceRange2,hours.Sunday,hours.Saturday,hours.Friday,hours.Thursday,hours.Wednesday,hours.Tuesday,hours.Monday
10,902,FAhFnSJn9owENi61iI8jwQ,Leo. a public house,1207 Allegheny Ave,Pittsburgh,PA,15233,40.4540188664,-80.0198856998,4.5,16,1,"Cocktail Bars, Pubs, Restaurants, American (New), Bars, Nightlife",,,,,,,,,,False,u'no',"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",,False,,,True,True,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,,,,True,u'full_bar',,True,,,,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',,16:0-22:0,16:0-1:0,16:0-1:0,16:0-1:0,16:0-1:0,16:0-1:0,
11,968,xzR3J-4vpt6K4ZHr8nQLCA,Archie's,2328 E Carson St,Pittsburgh,PA,15203,40.4280498,-79.9718346,3.5,57,1,"Bars, Beer Bar, Chicken Wings, Nightlife, Restaurants",,,,,,,,,"{'monday': True, 'tuesday': False, 'friday': False, 'wednesday': True, 'thursday': True, 'sunday': False, 'saturday': False}",,,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",,,,,True,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': True, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',False,True,u'full_bar',u'casual',True,False,True,False,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',1,12:0-2:0,11:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0,17:0-2:0
12,1066,lPljcKGwLlcwkLT5cl0yDg,Bruegger's Bagels,411 Seventh Ave,Pittsburgh,PA,15219,40.44289,-79.996284,3.0,14,0,"Restaurants, Breakfast & Brunch, Sandwiches, Bagels, Food",,,,,,,,,,,,,,,,,,True,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",True,,'quiet',False,False,'none','casual',True,True,True,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",'free',1,,6:0-16:0,5:30-17:0,5:30-17:0,5:30-17:0,5:30-17:0,
13,1263,J5JzAUd2wzyArZ-qHT0A4A,Poros,2 Ppg Pl,Pittsburgh,PA,15222,40.4402172791,-80.0029219128,3.5,143,0,"Mediterranean, Restaurants, Seafood, Turkish, Greek, Middle Eastern, Lebanese",,,,,,,,,,,,,,True,True,,True,True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': False}",True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',True,False,u'full_bar',u'dressy',True,False,False,False,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}",'free',2,16:0-21:0,16:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0,17:0-23:0
14,1426,cPZ5ugSrVrqnqD5ZsJhnpA,Pgh Crepes,Bigelow Blvd & Forbes Ave,Pittsburgh,PA,15213,40.4439607709,-79.9542873063,3.5,26,1,"Food Trucks, Food, Coffee & Tea, Restaurants, Creperies",,,,,,,,,,,,,,,True,,,,,,True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,,,True,True,True,False,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'no',1,,,,,,,
15,1438,Aes4MuZLnFqglFJNMZxRbw,Lydiah's Coffee House,200 Grant St,Pittsburgh,PA,15219,40.4371691,-79.9981261,4.5,27,0,"Ethnic Food, Imported Food, Specialty Food, Food, African, Coffee & Tea, Restaurants",,,,,,,,,,,,,,,False,,,True,False,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'quiet',False,False,'none','casual',True,False,True,False,True,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'no',1,,,11:0-14:0,11:0-14:0,11:0-14:0,11:0-14:0,11:0-14:0
16,1521,X2f2s37_cFKo4xpzGFqk1w,Hokkaido Seafood Buffet,4612 Browns Hill Rd,Pittsburgh,PA,15217,40.4154710864,-79.924143279,3.0,243,1,"Sushi Bars, Japanese, Seafood, Restaurants, Buffets",,,,,,,,,,,,,,,True,,False,True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',True,False,u'none',u'casual',True,True,True,False,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",u'no',2,11:0-22:0,11:0-22:30,11:0-22:30,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
17,1565,H6skMpg_g-sOrfTQf_Q5LQ,Thai Hana,3608 5th Ave,Pittsburgh,PA,15213,40.4415006,-79.958821,3.0,133,0,"Thai, Restaurants, Sushi Bars, Japanese",,,,,,,,,,,,,False,,,,,True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',None,False,u'none',u'casual',True,True,True,True,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'free',2,,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
18,1598,tuB82m4oIlKLyWeQjEF16g,Tasty N Healthy,11633 Penn Hills Dr,Pittsburgh,PA,15235,40.4646762,-79.827253,4.5,37,1,"Desserts, Greek, Food, Event Planning & Services, Caterers, Falafel, Restaurants, Wraps, Mediterranean",,,,,,,,,,,,,False,,False,False,,True,True,"{'touristy': None, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': None, 'casual': None}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'quiet',False,True,u'none',u'casual',True,True,True,False,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",'no',1,,11:0-18:0,10:30-19:0,10:30-19:0,,10:30-19:0,0:0-0:0
19,1612,1zl7-8t8jQ4NX29qRp8soA,City Fresh Pasta,2107 Murray Ave,Pittsburgh,PA,15217,40.4335076,-79.9228533,4.5,28,0,"Italian, Restaurants, Specialty Food, Food",,,,,,,,,,,,,,True,False,False,,,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,False,False,u'none',,True,True,None,None,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,
20,1629,XfgHILSTiFuoK69Z4KOcJg,Newman & Marleys,,Pittsburgh,PA,15219,40.440368,-79.9836108,5.0,4,0,"Local Flavor, Restaurants, Food, Hot Dogs, Food Trucks",,,,,,,,,,,,,,,False,,,True,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'average',False,False,'none','casual',False,True,True,False,False,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",'no',1,,,,,,,
21,1739,nF5TXLMmC6IJgQxE9CEZPw,Sun Penang,5829 Forbes Ave,Pittsburgh,PA,15217,40.4382561,-79.9218667,3.0,155,0,"Singaporean, Restaurants, Malaysian",,,,,,,,,,,,,,,,,,True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',True,False,'full_bar',u'casual',True,True,True,True,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",'no',2,11:0-22:0,11:0-23:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
22,1817,v1G_bioP6POazUyQwHcz7Q,Kiva Han,3533 Forbes Ave,Pittsburgh,PA,15213,40.4406105,-79.9586239,3.5,22,0,"Coffee & Tea, Restaurants, Food",,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",'free',1,,,,,,,
23,1840,FKtVtuM5vg1YN3Yn5yF1tA,Dairy Queen Orange Julius,"100 Robinson Ctr Dr, Ste 2560",Pittsburgh,PA,15205,40.453736,-80.157185,1.5,3,1,"Ice Cream & Frozen Yogurt, Food, Fast Food, Restaurants, Juice Bars & Smoothies",,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,,1,11:0-18:0,10:0-21:30,10:0-21:30,10:0-21:0,11:0-17:0,10:0-17:0,0:0-0:0
24,1884,QIXz6e0SZ4okLBFBsO79_Q,Ace Hotel Pittsburgh,120 S Whitfield St,Pittsburgh,PA,15206,40.4612819,-79.9264254,4.0,98,1,"Cocktail Bars, American (Traditional), Bars, Hotels, Nightlife, Restaurants, American (New), Hotels & Travel, Food, Coffee & Tea, Event Planning & Services, Venues & Event Spaces",,,,,,,False,True,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",,u'outdoor',{'dj': False},False,True,True,True,,True,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'quiet',False,True,'full_bar','casual',True,True,False,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",'free',2,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
25,1906,QI7XeQ11U4D-A5uRcah5Iw,Bea's Taqueria,2212 E Carson St,Pittsburgh,PA,15203,40.4282646,-79.9739887,4.0,11,0,"Mexican, Restaurants",,,,,,,,,,,,,,,,,,,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",False,,u'quiet',False,True,u'none',u'casual',,True,True,,False,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,1,,,,,,,
26,1911,CbwyXSyieSM3kO7brRlyHg,Cousins Maine Lobster - Pittsburgh,,Pittsburgh,PA,15044,40.6315486,-79.9528451,4.0,78,1,"Food Trucks, Seafood, Food, Restaurants",,,,,,,,,,,,,False,,False,True,,,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,False,True,'none','casual',True,,True,False,False,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,2,,,,,,,
27,2089,HDMoo6OIY4qIIKWfvbYK_A,Max & Erma's,1910 Cochran Rd,Pittsburgh,PA,15220,40.3932957,-80.0656653,2.5,19,0,"American (New), Restaurants, American (Traditional), Burgers, Sandwiches, Salad",,,,,,,,,,,,,,,,,,True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,,u'quiet',False,True,u'full_bar',u'casual',True,True,True,False,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",u'free',2,11:0-23:0,11:0-1:0,11:0-0:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
28,2234,t5S2YaCoMR_dyMmkMP0W2w,Jim Beam Left Field Lounge and Jim Beam Porch,115 Federal St,Pittsburgh,PA,15212,40.4471507,-80.0064087,2.5,5,1,"Restaurants, American (New)",,,,,,,,,,,,,,,,,,,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,,,,,,,,,,,,,,,,,,,,,
29,2303,-syU1HD-Iw_GEH8P5l03_A,Donut Connection,2414 Brownsville Rd,Pittsburgh,PA,15210,40.3867139,-79.9822249,4.0,12,1,"Coffee & Tea, Breakfast & Brunch, Donuts, Restaurants, Food",,,,,,,,,,,,,,,,,,,False,,,,,False,,,,True,True,True,,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,1,5:0-20:30,5:0-20:30,5:0-20:30,5:0-20:30,5:0-20:30,5:0-20:30,5:0-20:30
30,2446,jAQwIRxZNj2zndM5V9UOpw,Pittsburgh Field Club,121 Field Club Rd,Pittsburgh,PA,15238,40.51334,-79.889851,3.5,5,1,"Arts & Entertainment, Golf, Restaurants, Country Clubs, Active Life",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
31,2490,dHiq1JliKgh_3z-KnTpCaA,Roxanne's Catering,4124 Main St,Pittsburgh,PA,15224,40.4649486,-79.9544552,4.0,3,1,"Caterers, Seafood, Food, Event Planning & Services, Restaurants, Soul Food, Southern",,,,,,,,,,,,,,,,,,True,True,,True,,'average',,True,'none','casual',True,True,True,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,1,11:0-15:0,9:0-14:0,12:0-18:0,,,,
32,2498,oCvxJBOs-Mbg-4oanPO7lQ,Pita Pit,2763 East Carson St,Pittsburgh,PA,15203,40.426647,-79.965902,3.5,57,1,"Fast Food, Greek, Breakfast & Brunch, Restaurants, Sandwiches, Mediterranean",,,,,,False,,,,,,,,,,,,True,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',False,True,u'none',u'casual',True,True,True,True,True,"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'free',1,11:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0,10:0-22:0
33,2639,a3ZqjElMgAe924sbXZVcvA,Sciulli's Pizza,3404 5th Ave,Pittsburgh,PA,15213,40.4391344,-79.961805,4.5,20,1,"Pizza, Restaurants",,,,,,,,,,,,,,,,,,,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,,,False,True,u'none',u'casual',False,True,True,False,False,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",u'no',1,,,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0
34,2643,7ULRdJfVo2-Og5ZoGOECFg,Mediterrano,2193 Babcock Blvd,Pittsburgh,PA,15209,40.510325,-79.993322,3.5,66,0,"Restaurants, Seafood, Greek, Food, Mediterranean",,,,,,,,,,,,,,,,,,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,,u'average',True,False,u'none',u'casual',True,True,True,False,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",u'no',2,16:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,
35,2839,Rp8D7pO3iTcd7zYV8G93yQ,Tisha's Sunny Farms,600 Brookline Blvd,Pittsburgh,PA,15226,40.3951835632,-80.0225143433,4.0,9,0,"Diners, Restaurants",,,,,,,,,,,,,,,,,,,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",False,,u'average',False,True,u'none',u'casual',True,True,True,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',1,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0
36,2871,uE6hI5_i4QVq12xU99xtqA,Fazio's Pizza,4028 Penn Ave,Pittsburgh,PA,15224,40.4652007,-79.9568209,4.0,77,1,"Restaurants, Pizza",,,,,,,,,,,,,,,,,,,False,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",'average',False,True,'none',u'casual',True,True,True,True,True,,'no',1,12:0-20:0,11:0-23:0,11:0-23:0,11:0-22:0,11:0-22:0,11:0-22:0,
37,2934,xUsLyzWQId6nXwNDVq08qQ,Lotus Garden,3911 Saw Mill Run Blvd,Pittsburgh,PA,15227,40.368626,-79.983,4.0,6,0,"Restaurants, Chinese",,,,,,,,,,,,,,,,,,,True,,,,,True,,u'full_bar',u'casual',True,True,True,False,False,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,2,,,,,,,
38,2948,0EcCWB9_VxTOoAh_1Wr_RQ,Blue Line Grille,1014 Fifth Ave,Pittsburgh,PA,15219,40.4387705,-79.9903134,3.0,83,0,"Nightlife, Sports Bars, American (New), Restaurants, Bars, Food",,,,,,,,,,,,,,,,,,False,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,,'average',False,True,u'full_bar',u'casual',True,False,True,False,True,"{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': True}",u'free',2,10:0-21:0,11:0-0:0,11:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
39,3024,-8F04F54iDT6VgWPCgybug,Ineffable Ca Phe,3920 Penn Ave,Pittsburgh,PA,15224,40.464681,-79.959312,4.5,131,1,"Coffee & Tea, Restaurants, Food, Vietnamese, Breakfast & Brunch",,,,,,,,,,,,,,,False,,,True,True,"{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",False,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}",u'quiet',False,True,u'none','casual',True,True,True,False,True,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",'free',1,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0,8:0-18:0
